product_id,name_pl,category,substitution_group,kcal_100,kcal_usda,protein_100,fat_100,carbs_100,fiber_100,cooking_tags,allergens,diet_exclusions,default_scaling,source,source_id,source_desc
P001,Pierś z kurczaka (surowa),mięso,białko_chude,113.6,120.0,22.5,2.62,0.0,0.0,"smażenie,pieczenie,gotowanie",,meat,LINIOWY,USDA SR Legacy,171077.0,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"
P002,Udo z kurczaka bez skóry (surowe),mięso,białko_tłuste,115.7,121.0,19.66,4.12,0.0,0.0,"pieczenie,duszenie",,meat,LINIOWY,USDA SR Legacy,173627.0,"Chicken, broilers or fryers, dark meat, thigh, meat only, raw"
P003,Pierś z indyka (surowa),mięso,białko_chude,114.3,114.0,23.34,2.33,0.0,0.0,"smażenie,pieczenie,gotowanie",,meat,LINIOWY,USDA SR Legacy,174515.0,"Turkey, retail parts, breast, meat only, raw"
P004,Wołowina mielona 90/10 (surowa),mięso,białko_mielone,170.0,176.0,20.0,10.0,0.0,0.0,"smażenie,pieczenie",,meat,LINIOWY,USDA SR Legacy,174030.0,"Beef, ground, 90% lean meat / 10% fat, raw"
P005,Mięso mielone z indyka (surowe),mięso,białko_mielone,150.0,150.0,18.73,8.34,0.0,0.0,"smażenie,pieczenie",,meat,LINIOWY,USDA SR Legacy,172850.0,"Turkey, ground, 93% lean, 7% fat, raw"
P006,Polędwiczka wieprzowa (surowa),mięso,białko_chude,103.3,109.0,20.95,2.17,0.0,0.0,"smażenie,pieczenie",,meat,LINIOWY,USDA SR Legacy,168249.0,"Pork, fresh, loin, tenderloin, separable lean only, raw"
P007,Schab bez kości (surowy),mięso,białko_chude,122.8,123.0,23.75,3.09,0.0,0.0,"smażenie,pieczenie",,meat,LINIOWY,USDA SR Legacy,168263.0,"Pork, fresh, loin, center loin (chops), boneless, separable lean only, raw"
P008,Dorsz (surowy),ryby,ryba_chuda,77.3,82.0,17.81,0.67,0.0,0.0,"pieczenie,gotowanie,smażenie",ryby,fish,LINIOWY,USDA SR Legacy,171955.0,"Fish, cod, Atlantic, raw"
P009,Mintaj (surowy),ryby,ryba_chuda,76.1,76.0,17.17,0.82,0.0,0.0,"pieczenie,smażenie",ryby,fish,LINIOWY,USDA SR Legacy,173725.0,"Fish, pollock, Alaska, raw"
P010,Łosoś (surowy),ryby,ryba_tłusta,202.5,208.0,20.42,13.42,0.0,0.0,"pieczenie,smażenie",ryby,fish,LINIOWY,USDA SR Legacy,175167.0,"Fish, salmon, Atlantic, farmed, raw"
P011,Makrela (surowa),ryby,ryba_tłusta,199.4,205.0,18.6,13.89,0.0,0.0,pieczenie,ryby,fish,LINIOWY,USDA SR Legacy,175119.0,"Fish, mackerel, Atlantic, raw"
P012,Tuńczyk w sosie własnym (odsączony),ryby,ryba_chuda,109.4,116.0,25.51,0.82,0.0,0.0,na_zimno,ryby,fish,LINIOWY,USDA SR Legacy,171986.0,"Fish, tuna, light, canned in water, without salt, drained solids"
