name_pl,proxy_fdc,sfa,sugar,ca,fe,mg,k,na,zn,vitc,vitd_iu,b12,folate,epa,dha,iodine
Pierś z kurczaka (surowa),171077,0.563,0.0,5.0,0.37,28.0,334.0,45.0,0.68,0.0,1.0,0.21,9.0,0.003,0.004,0.0
Udo z kurczaka bez skóry (surowe),173627,1.097,0.0,7.0,0.81,23.0,242.0,95.0,1.58,0.0,1.0,0.61,4.0,0.002,0.007,0.0
Pierś z indyka (surowa),174515,0.344,0.0,9.0,0.76,27.0,267.0,74.0,1.16,0.0,7.0,1.35,7.0,0.001,0.002,0.0
Wołowina mielona 90/10 (surowa),174030,3.927,0.0,12.0,2.24,20.0,321.0,66.0,4.79,0.0,3.0,2.21,6.0,0.0,0.0,0.0
Mięso mielone z indyka (surowe),172850,2.17,0.0,21.0,1.17,21.0,213.0,69.0,2.53,0.0,14.0,1.2,7.0,0.005,0.008,0.0
Polędwiczka wieprzowa (surowa),168249,0.698,0.0,5.0,0.98,27.0,399.0,53.0,1.89,0.0,8.0,0.51,0.0,0.0,0.0,0.0
Schab bez kości (surowy),168263,0.801,0.0,6.0,0.48,26.0,386.0,87.0,1.42,0.0,23.0,0.41,0.0,0.0,0.0,0.0
Dorsz (surowy),171955,0.131,0.0,16.0,0.38,32.0,413.0,54.0,0.45,1.0,36.0,0.91,7.0,0.064,0.12,0.0
Mintaj (surowy),173725,0.148,0.0,12.0,0.27,34.0,331.0,159.0,0.4,0.0,0.0,0.0,0.0,0.075,0.16,0.0
Łosoś (surowy),175167,3.05,0.0,9.0,0.34,27.0,363.0,59.0,0.36,3.9,441.0,3.23,26.0,0.862,1.104,0.0
Makrela (surowa),175119,3.257,0.0,12.0,1.63,76.0,314.0,90.0,0.63,0.4,643.0,8.71,1.0,0.898,1.401,0.0
Tuńczyk w sosie własnym (odsączony),171986,0.234,0.0,11.0,1.53,27.0,237.0,50.0,0.77,0.0,0.0,2.99,4.0,0.047,0.223,0.0
Krewetki (surowe),175179,0.101,0.0,64.0,0.52,35.0,264.0,119.0,1.34,0.0,0.0,0.0,0.0,0.03,0.031,0.0
Jajko kurze (całe),171287,3.126,0.37,56.0,1.75,12.0,138.0,142.0,1.29,0.0,82.0,0.89,47.0,0.0,0.058,0.0
Białko jaja,172183,0.0,0.71,7.0,0.08,11.0,163.0,166.0,0.03,0.0,0.0,0.09,4.0,0.0,0.0,0.0
Jogurt naturalny 2%,170886,1.0,7.04,183.0,0.08,17.0,234.0,70.0,0.89,0.8,1.0,0.56,11.0,0.0,0.0,0.0
Jogurt grecki 0%,170894,0.117,3.24,110.0,0.07,11.0,141.0,36.0,0.52,0.0,0.0,0.75,7.0,0.0,0.0,0.0
Skyr naturalny,170894,0.117,3.24,110.0,0.07,11.0,141.0,36.0,0.52,0.0,0.0,0.75,7.0,0.0,0.0,0.0
Jogurt grecki 10%,171304,2.395,4.0,100.0,0.0,11.0,141.0,35.0,0.52,0.0,0.0,0.75,5.0,0.0,0.004,0.0
Kefir 2%,170904,0.658,4.61,130.0,0.04,12.0,164.0,40.0,0.46,0.2,41.0,0.29,13.0,0.0,0.0,0.0
Mleko 2%,171267,1.257,5.06,120.0,0.02,11.0,140.0,47.0,0.48,0.2,49.0,0.53,5.0,0.0,0.0,0.0
Serek wiejski (cottage),172182,1.235,4.0,111.0,0.13,9.0,125.0,308.0,0.51,0.0,0.0,0.47,8.0,0.001,0.0,0.0
Mozzarella light,170847,10.114,1.13,782.0,0.22,23.0,84.0,619.0,2.76,0.0,12.0,0.82,9.0,0.0,0.0,0.0
Ser gouda,171241,17.614,2.22,700.0,0.24,29.0,121.0,819.0,3.9,0.0,20.0,1.54,21.0,0.0,0.0,0.0
